waypoint1	waypoint2	distance_m	duration_s
Mt Frissell Trailhead parking, Salisbury, CT 06068	2280 OH-540, Bellefontaine, OH 43311	1090004	38117
Mt Frissell Trailhead parking, Salisbury, CT 06068	Black Mesa Trail, Kenton, OK 73946	2954242	101413
Mt Frissell Trailhead parking, Salisbury, CT 06068	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	4757105	159033
Mt Frissell Trailhead parking, Salisbury, CT 06068	Mount Davis Observation Tower, Fort Hill, PA 15540	713788	26506
Mt Frissell Trailhead parking, Salisbury, CT 06068	250-216 Hartford Pike, Foster, RI 02825	223816	9153
Mt Frissell Trailhead parking, Salisbury, CT 06068	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1371281	49400
Mt Frissell Trailhead parking, Salisbury, CT 06068	Palmer Creek Trailhead, Hill City, SD 57745	2924069	98051
Mt Frissell Trailhead parking, Salisbury, CT 06068	Clingmans Dome Tennessee High Point, Tennessee 37738	1359504	49667
Mt Frissell Trailhead parking, Salisbury, CT 06068	Pine Springs Trailhead, Salt Flat, TX 79847	3432443	116210
Mt Frissell Trailhead parking, Salisbury, CT 06068	85GFWM59+MG, Evanston, UT 84031	3672789	125960
Mt Frissell Trailhead parking, Salisbury, CT 06068	Long Trail, Stowe, VT 05672	418601	17407
Mt Frissell Trailhead parking, Salisbury, CT 06068	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	1109853	39568
Mt Frissell Trailhead parking, Salisbury, CT 06068	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4785518	164095
Mt Frissell Trailhead parking, Salisbury, CT 06068	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	819764	32059
Mt Frissell Trailhead parking, Salisbury, CT 06068	W3206 Co Rd R R, Ogema, WI 54459	1956548	66795
Mt Frissell Trailhead parking, Salisbury, CT 06068	Trail Lake Trailhead, Dubois, WY 82513	3489401	118028
4000 Chesapeake St NW, Washington, DC 20016	2715 Ebright Rd, Wilmington, DE 19810	187619	7457
Britton Hill, Florida 32433	2715 Ebright Rd, Wilmington, DE 19810	1635737	56276
GA-180 Spur, Blairsville, GA 30512	2715 Ebright Rd, Wilmington, DE 19810	1135871	39991
Borah Peak Trailhead, Mackay, ID 83251	2715 Ebright Rd, Wilmington, DE 19810	3732210	125947
Charles Mound, Scales Mound Township, IL 61075	2715 Ebright Rd, Wilmington, DE 19810	1449561	50637
Hoozier Hill, Franklin Township, IN 47341	2715 Ebright Rd, Wilmington, DE 19810	915968	32163
Hawkeye Pt Rd, Sibley, IA 51249	2715 Ebright Rd, Wilmington, DE 19810	2045670	68992
Mount Sunflower, Weskan, KS 67762	2715 Ebright Rd, Wilmington, DE 19810	2479234	83650
Black Mountain Ridge Rd, Partridge, KY 40862	2715 Ebright Rd, Wilmington, DE 19810	878820	32288
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	2715 Ebright Rd, Wilmington, DE 19810	2030091	67298
Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2715 Ebright Rd, Wilmington, DE 19810	1053043	37821
2428 Seneca Trail, Eglon, WV 26716	2715 Ebright Rd, Wilmington, DE 19810	451368	16615
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	2715 Ebright Rd, Wilmington, DE 19810	454849	18113
Skanee, MI 49962	2715 Ebright Rd, Wilmington, DE 19810	1754288	60230
Eagle Mountain Trailhead, Grand Marais, MN 55604	2715 Ebright Rd, Wilmington, DE 19810	2138625	74703
105 Woodall Mountain Rd, Iuka, MS 38852	2715 Ebright Rd, Wilmington, DE 19810	1467532	50358
High Point Trail Head, Ironton, MO 63650	2715 Ebright Rd, Wilmington, DE 19810	1557657	54135
W Rosebud Lake Rd, Fishtail, MT 59028	2715 Ebright Rd, Wilmington, DE 19810	3333043	112249
Panorama Point, Bushnell, NE 82082	2715 Ebright Rd, Wilmington, DE 19810	2670153	89296
Boundary Peak Trailhead, Nevada 89010	2715 Ebright Rd, Wilmington, DE 19810	4187589	142174
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	2715 Ebright Rd, Wilmington, DE 19810	786360	31211
Monument Rd, Wantage, NJ 07461	2715 Ebright Rd, Wilmington, DE 19810	257856	10837
Taos Ski Valley, NM 87525	2715 Ebright Rd, Wilmington, DE 19810	2991947	102458
Adirondack Loj Rd, Lake Placid, NY 12946	2715 Ebright Rd, Wilmington, DE 19810	634834	22524
Mount Mitchell Summit Trail, Burnsville, NC 28714	2715 Ebright Rd, Wilmington, DE 19810	955826	34237
White Butte Trl, Bowman, ND 58623	2715 Ebright Rd, Wilmington, DE 19810	2787127	93450
2280 OH-540, Bellefontaine, OH 43311	2715 Ebright Rd, Wilmington, DE 19810	823723	28859
Black Mesa Trail, Kenton, OK 73946	2715 Ebright Rd, Wilmington, DE 19810	2659199	91259
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	2715 Ebright Rd, Wilmington, DE 19810	4550254	151795
Mount Davis Observation Tower, Fort Hill, PA 15540	2715 Ebright Rd, Wilmington, DE 19810	401118	14474
250-216 Hartford Pike, Foster, RI 02825	2715 Ebright Rd, Wilmington, DE 19810	455778	16684
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	2715 Ebright Rd, Wilmington, DE 19810	1019033	36268
Palmer Creek Trailhead, Hill City, SD 57745	2715 Ebright Rd, Wilmington, DE 19810	2717218	90813
Clingmans Dome Tennessee High Point, Tennessee 37738	2715 Ebright Rd, Wilmington, DE 19810	1007256	36535
Pine Springs Trailhead, Salt Flat, TX 79847	2715 Ebright Rd, Wilmington, DE 19810	3145237	105378
85GFWM59+MG, Evanston, UT 84031	2715 Ebright Rd, Wilmington, DE 19810	3465937	118723
Long Trail, Stowe, VT 05672	2715 Ebright Rd, Wilmington, DE 19810	737000	27874
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	2715 Ebright Rd, Wilmington, DE 19810	757605	26436
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	2715 Ebright Rd, Wilmington, DE 19810	4578667	156857
Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2715 Ebright Rd, Wilmington, DE 19810	476295	19130
W3206 Co Rd R R, Ogema, WI 54459	2715 Ebright Rd, Wilmington, DE 19810	1749697	59557
Trail Lake Trailhead, Dubois, WY 82513	2715 Ebright Rd, Wilmington, DE 19810	3282550	110791
4000 Chesapeake St NW, Washington, DC 20016	Britton Hill, Florida 32433	1455135	50097
4000 Chesapeake St NW, Washington, DC 20016	GA-180 Spur, Blairsville, GA 30512	954430	33947
4000 Chesapeake St NW, Washington, DC 20016	Borah Peak Trailhead, Mackay, ID 83251	3643760	122931
4000 Chesapeake St NW, Washington, DC 20016	Charles Mound, Scales Mound Township, IL 61075	1361111	47622
4000 Chesapeake St NW, Washington, DC 20016	Hoozier Hill, Franklin Township, IN 47341	815700	28853
4000 Chesapeake St NW, Washington, DC 20016	Hawkeye Pt Rd, Sibley, IA 51249	1957220	65976
4000 Chesapeake St NW, Washington, DC 20016	Mount Sunflower, Weskan, KS 67762	2378965	80340
4000 Chesapeake St NW, Washington, DC 20016	Black Mountain Ridge Rd, Partridge, KY 40862	697379	26244
4000 Chesapeake St NW, Washington, DC 20016	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1848650	61254
4000 Chesapeake St NW, Washington, DC 20016	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	1226367	43898
4000 Chesapeake St NW, Washington, DC 20016	2428 Seneca Trail, Eglon, WV 26716	286974	11155
4000 Chesapeake St NW, Washington, DC 20016	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	628173	24190
4000 Chesapeake St NW, Washington, DC 20016	Skanee, MI 49962	1665838	57214
4000 Chesapeake St NW, Washington, DC 20016	Eagle Mountain Trailhead, Grand Marais, MN 55604	2050175	71687
4000 Chesapeake St NW, Washington, DC 20016	105 Woodall Mountain Rd, Iuka, MS 38852	1286091	44314
4000 Chesapeake St NW, Washington, DC 20016	High Point Trail Head, Ironton, MO 63650	1457389	50824
4000 Chesapeake St NW, Washington, DC 20016	W Rosebud Lake Rd, Fishtail, MT 59028	3244593	109233
4000 Chesapeake St NW, Washington, DC 20016	Panorama Point, Bushnell, NE 82082	2581703	86281
4000 Chesapeake St NW, Washington, DC 20016	Boundary Peak Trailhead, Nevada 89010	4099139	139158
4000 Chesapeake St NW, Washington, DC 20016	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	959684	37288
4000 Chesapeake St NW, Washington, DC 20016	Monument Rd, Wantage, NJ 07461	449708	17079
4000 Chesapeake St NW, Washington, DC 20016	Taos Ski Valley, NM 87525	2891679	99148
4000 Chesapeake St NW, Washington, DC 20016	Adirondack Loj Rd, Lake Placid, NY 12946	808158	28601
4000 Chesapeake St NW, Washington, DC 20016	Mount Mitchell Summit Trail, Burnsville, NC 28714	775225	28058
4000 Chesapeake St NW, Washington, DC 20016	White Butte Trl, Bowman, ND 58623	2698677	90434
4000 Chesapeake St NW, Washington, DC 20016	2280 OH-540, Bellefontaine, OH 43311	723455	25549
4000 Chesapeake St NW, Washington, DC 20016	Black Mesa Trail, Kenton, OK 73946	2558931	87949
4000 Chesapeake St NW, Washington, DC 20016	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	4461804	148780
4000 Chesapeake St NW, Washington, DC 20016	Mount Davis Observation Tower, Fort Hill, PA 15540	259167	9933
4000 Chesapeake St NW, Washington, DC 20016	250-216 Hartford Pike, Foster, RI 02825	629103	22762
4000 Chesapeake St NW, Washington, DC 20016	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	837591	30224
4000 Chesapeake St NW, Washington, DC 20016	Palmer Creek Trailhead, Hill City, SD 57745	2628768	87797
4000 Chesapeake St NW, Washington, DC 20016	Clingmans Dome Tennessee High Point, Tennessee 37738	825814	30491
4000 Chesapeake St NW, Washington, DC 20016	Pine Springs Trailhead, Salt Flat, TX 79847	2963795	99333
4000 Chesapeake St NW, Washington, DC 20016	85GFWM59+MG, Evanston, UT 84031	3377487	115707
4000 Chesapeake St NW, Washington, DC 20016	Long Trail, Stowe, VT 05672	910325	33951
4000 Chesapeake St NW, Washington, DC 20016	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	576163	20392
4000 Chesapeake St NW, Washington, DC 20016	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4490217	153841
4000 Chesapeake St NW, Washington, DC 20016	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	294853	13086
4000 Chesapeake St NW, Washington, DC 20016	W3206 Co Rd R R, Ogema, WI 54459	1661247	56541
4000 Chesapeake St NW, Washington, DC 20016	Trail Lake Trailhead, Dubois, WY 82513	3194100	107775
GA-180 Spur, Blairsville, GA 30512	Britton Hill, Florida 32433	570212	21302
Borah Peak Trailhead, Mackay, ID 83251	Britton Hill, Florida 32433	3492997	118943
Charles Mound, Scales Mound Township, IL 61075	Britton Hill, Florida 32433	1646298	54704
Britton Hill, Florida 32433	Hoozier Hill, Franklin Township, IN 47341	1224509	40722
Hawkeye Pt Rd, Sibley, IA 51249	Britton Hill, Florida 32433	2031792	69238
Mount Sunflower, Weskan, KS 67762	Britton Hill, Florida 32433	2209881	72399
Britton Hill, Florida 32433	Black Mountain Ridge Rd, Partridge, KY 40862	980281	34191
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Britton Hill, Florida 32433	757167	27439
Britton Hill, Florida 32433	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2671249	92321
2428 Seneca Trail, Eglon, WV 26716	Britton Hill, Florida 32433	1450394	50075
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Britton Hill, Florida 32433	2142396	72547
Skanee, MI 49962	Britton Hill, Florida 32433	2052775	69699
Britton Hill, Florida 32433	Eagle Mountain Trailhead, Grand Marais, MN 55604	2345830	79134
105 Woodall Mountain Rd, Iuka, MS 38852	Britton Hill, Florida 32433	567555	19965
Britton Hill, Florida 32433	High Point Trail Head, Ironton, MO 63650	1082344	38450
W Rosebud Lake Rd, Fishtail, MT 59028	Britton Hill, Florida 32433	3221549	110349
Panorama Point, Bushnell, NE 82082	Britton Hill, Florida 32433	2430940	82293
Boundary Peak Trailhead, Nevada 89010	Britton Hill, Florida 32433	3498698	118950
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Britton Hill, Florida 32433	2404565	85711
Monument Rd, Wantage, NJ 07461	Britton Hill, Florida 32433	1897074	63571
Britton Hill, Florida 32433	Taos Ski Valley, NM 87525	2215245	78875
Britton Hill, Florida 32433	Adirondack Loj Rd, Lake Placid, NY 12946	2295839	76909
Mount Mitchell Summit Trail, Burnsville, NC 28714	Britton Hill, Florida 32433	797798	30644
White Butte Trl, Bowman, ND 58623	Britton Hill, Florida 32433	2822992	96087
2280 OH-540, Bellefontaine, OH 43311	Britton Hill, Florida 32433	1257457	42554
Black Mesa Trail, Kenton, OK 73946	Britton Hill, Florida 32433	1969551	68570
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Britton Hill, Florida 32433	4311041	144792
Mount Davis Observation Tower, Fort Hill, PA 15540	Britton Hill, Florida 32433	1502167	51127
250-216 Hartford Pike, Foster, RI 02825	Britton Hill, Florida 32433	2073984	71184
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Britton Hill, Florida 32433	672374	24743
Palmer Creek Trailhead, Hill City, SD 57745	Britton Hill, Florida 32433	2639256	88891
Clingmans Dome Tennessee High Point, Tennessee 37738	Britton Hill, Florida 32433	721782	27581
Pine Springs Trailhead, Salt Flat, TX 79847	Britton Hill, Florida 32433	2066050	67187
85GFWM59+MG, Evanston, UT 84031	Britton Hill, Florida 32433	3148750	108658
Britton Hill, Florida 32433	Long Trail, Stowe, VT 05672	2355206	82374
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Britton Hill, Florida 32433	998549	33459
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Britton Hill, Florida 32433	4407549	152310
Britton Hill, Florida 32433	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1374681	48908
Britton Hill, Florida 32433	W3206 Co Rd R R, Ogema, WI 54459	1956903	63988
Trail Lake Trailhead, Dubois, WY 82513	Britton Hill, Florida 32433	3043337	103787
Borah Peak Trailhead, Mackay, ID 83251	GA-180 Spur, Blairsville, GA 30512	3315462	112359
Charles Mound, Scales Mound Township, IL 61075	GA-180 Spur, Blairsville, GA 30512	1328860	47505
GA-180 Spur, Blairsville, GA 30512	Hoozier Hill, Franklin Township, IN 47341	740367	27878
Hawkeye Pt Rd, Sibley, IA 51249	GA-180 Spur, Blairsville, GA 30512	1810003	62765
Mount Sunflower, Weskan, KS 67762	GA-180 Spur, Blairsville, GA 30512	1965855	66313
GA-180 Spur, Blairsville, GA 30512	Black Mountain Ridge Rd, Partridge, KY 40862	407839	16934
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	GA-180 Spur, Blairsville, GA 30512	1027189	35097
GA-180 Spur, Blairsville, GA 30512	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2181756	76230
2428 Seneca Trail, Eglon, WV 26716	GA-180 Spur, Blairsville, GA 30512	878256	32842
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	GA-180 Spur, Blairsville, GA 30512	1570258	55315
Skanee, MI 49962	GA-180 Spur, Blairsville, GA 30512	1729593	61117
GA-180 Spur, Blairsville, GA 30512	Eagle Mountain Trailhead, Grand Marais, MN 55604	2017923	71570
105 Woodall Mountain Rd, Iuka, MS 38852	GA-180 Spur, Blairsville, GA 30512	497750	19419
GA-180 Spur, Blairsville, GA 30512	High Point Trail Head, Ironton, MO 63650	836946	32082
W Rosebud Lake Rd, Fishtail, MT 59028	GA-180 Spur, Blairsville, GA 30512	3044014	103765
Panorama Point, Bushnell, NE 82082	GA-180 Spur, Blairsville, GA 30512	2253404	75709
Boundary Peak Trailhead, Nevada 89010	GA-180 Spur, Blairsville, GA 30512	3669666	122690
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	GA-180 Spur, Blairsville, GA 30512	1915072	69620
Monument Rd, Wantage, NJ 07461	GA-180 Spur, Blairsville, GA 30512	1324936	46339
GA-180 Spur, Blairsville, GA 30512	Taos Ski Valley, NM 87525	2336892	81807
GA-180 Spur, Blairsville, GA 30512	Adirondack Loj Rd, Lake Placid, NY 12946	1723701	59677
Mount Mitchell Summit Trail, Burnsville, NC 28714	GA-180 Spur, Blairsville, GA 30512	255338	11832
White Butte Trl, Bowman, ND 58623	GA-180 Spur, Blairsville, GA 30512	2645457	89503
2280 OH-540, Bellefontaine, OH 43311	GA-180 Spur, Blairsville, GA 30512	788986	29035
Black Mesa Trail, Kenton, OK 73946	GA-180 Spur, Blairsville, GA 30512	2057726	70640
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	GA-180 Spur, Blairsville, GA 30512	4133506	138208
Mount Davis Observation Tower, Fort Hill, PA 15540	GA-180 Spur, Blairsville, GA 30512	930029	33895
250-216 Hartford Pike, Foster, RI 02825	GA-180 Spur, Blairsville, GA 30512	1584695	55039
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	GA-180 Spur, Blairsville, GA 30512	162678	8267
GA-180 Spur, Blairsville, GA 30512	Palmer Creek Trailhead, Hill City, SD 57745	2461720	82307
Clingmans Dome Tennessee High Point, Tennessee 37738	GA-180 Spur, Blairsville, GA 30512	179322	8769
Pine Springs Trailhead, Salt Flat, TX 79847	GA-180 Spur, Blairsville, GA 30512	2224238	75085
85GFWM59+MG, Evanston, UT 84031	GA-180 Spur, Blairsville, GA 30512	2904724	102572
GA-180 Spur, Blairsville, GA 30512	Long Trail, Stowe, VT 05672	1801324	66118
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	GA-180 Spur, Blairsville, GA 30512	426411	16227
GA-180 Spur, Blairsville, GA 30512	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4230013	145726
GA-180 Spur, Blairsville, GA 30512	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	802543	31676
GA-180 Spur, Blairsville, GA 30512	W3206 Co Rd R R, Ogema, WI 54459	1628996	56425
Trail Lake Trailhead, Dubois, WY 82513	GA-180 Spur, Blairsville, GA 30512	2865802	97203
Borah Peak Trailhead, Mackay, ID 83251	Charles Mound, Scales Mound Township, IL 61075	2377722	80642
Borah Peak Trailhead, Mackay, ID 83251	Hoozier Hill, Franklin Township, IN 47341	2883464	96916
Borah Peak Trailhead, Mackay, ID 83251	Hawkeye Pt Rd, Sibley, IA 51249	1852838	65347
Mount Sunflower, Weskan, KS 67762	Borah Peak Trailhead, Mackay, ID 83251	1454969	50865
Borah Peak Trailhead, Mackay, ID 83251	Black Mountain Ridge Rd, Partridge, KY 40862	3236317	111135
Borah Peak Trailhead, Mackay, ID 83251	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	2813563	96238
Borah Peak Trailhead, Mackay, ID 83251	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	4638621	156376
Borah Peak Trailhead, Mackay, ID 83251	2428 Seneca Trail, Eglon, WV 26716	3428409	117154
Borah Peak Trailhead, Mackay, ID 83251	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	3919727	132566
Skanee, MI 49962	Borah Peak Trailhead, Mackay, ID 83251	2486000	88039
Borah Peak Trailhead, Mackay, ID 83251	Eagle Mountain Trailhead, Grand Marais, MN 55604	2303289	81570
105 Woodall Mountain Rd, Iuka, MS 38852	Borah Peak Trailhead, Mackay, ID 83251	2971473	100703
Borah Peak Trailhead, Mackay, ID 83251	High Point Trail Head, Ironton, MO 63650	2570854	87091
W Rosebud Lake Rd, Fishtail, MT 59028	Borah Peak Trailhead, Mackay, ID 83251	760833	28680
Borah Peak Trailhead, Mackay, ID 83251	Panorama Point, Bushnell, NE 82082	1100356	39084
Borah Peak Trailhead, Mackay, ID 83251	Boundary Peak Trailhead, Nevada 89010	1071382	40060
Borah Peak Trailhead, Mackay, ID 83251	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	4211752	144554
Monument Rd, Wantage, NJ 07461	Borah Peak Trailhead, Mackay, ID 83251	3765063	126145
Borah Peak Trailhead, Mackay, ID 83251	Taos Ski Valley, NM 87525	1478726	54817
Borah Peak Trailhead, Mackay, ID 83251	Adirondack Loj Rd, Lake Placid, NY 12946	3943508	134016
Mount Mitchell Summit Trail, Burnsville, NC 28714	Borah Peak Trailhead, Mackay, ID 83251	3458880	117560
White Butte Trl, Bowman, ND 58623	Borah Peak Trailhead, Mackay, ID 83251	1231972	43103
2280 OH-540, Bellefontaine, OH 43311	Borah Peak Trailhead, Mackay, ID 83251	2967726	101094
Black Mesa Trail, Kenton, OK 73946	Borah Peak Trailhead, Mackay, ID 83251	1595228	57159
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Borah Peak Trailhead, Mackay, ID 83251	1034932	37038
Borah Peak Trailhead, Mackay, ID 83251	Mount Davis Observation Tower, Fort Hill, PA 15540	3401873	114756
250-216 Hartford Pike, Foster, RI 02825	Borah Peak Trailhead, Mackay, ID 83251	4069972	136305
Borah Peak Trailhead, Mackay, ID 83251	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	3463694	117294
Borah Peak Trailhead, Mackay, ID 83251	Palmer Creek Trailhead, Hill City, SD 57745	1120125	43208
Clingmans Dome Tennessee High Point, Tennessee 37738	Borah Peak Trailhead, Mackay, ID 83251	3318127	113120
Borah Peak Trailhead, Mackay, ID 83251	Pine Springs Trailhead, Salt Flat, TX 79847	1966958	69485
Borah Peak Trailhead, Mackay, ID 83251	85GFWM59+MG, Evanston, UT 84031	601494	24108
Borah Peak Trailhead, Mackay, ID 83251	Long Trail, Stowe, VT 05672	4046306	141128
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Borah Peak Trailhead, Mackay, ID 83251	3386941	116131
Borah Peak Trailhead, Mackay, ID 83251	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	1131440	44557
Borah Peak Trailhead, Mackay, ID 83251	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	3517829	120403
Borah Peak Trailhead, Mackay, ID 83251	W3206 Co Rd R R, Ogema, WI 54459	2418255	81288
Borah Peak Trailhead, Mackay, ID 83251	Trail Lake Trailhead, Dubois, WY 82513	489848	21875
Charles Mound, Scales Mound Township, IL 61075	Hoozier Hill, Franklin Township, IN 47341	671448	24046
Charles Mound, Scales Mound Township, IL 61075	Hawkeye Pt Rd, Sibley, IA 51249	576844	21295
Mount Sunflower, Weskan, KS 67762	Charles Mound, Scales Mound Township, IL 61075	1250577	43952
Charles Mound, Scales Mound Township, IL 61075	Black Mountain Ridge Rd, Partridge, KY 40862	1113870	41220
Charles Mound, Scales Mound Township, IL 61075	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1399106	50617
Charles Mound, Scales Mound Township, IL 61075	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2354045	81492
Charles Mound, Scales Mound Township, IL 61075	2428 Seneca Trail, Eglon, WV 26716	1194803	42658
Charles Mound, Scales Mound Township, IL 61075	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1635150	57681
Skanee, MI 49962	Charles Mound, Scales Mound Township, IL 61075	638234	24939
Charles Mound, Scales Mound Township, IL 61075	Eagle Mountain Trailhead, Grand Marais, MN 55604	800375	30677
105 Woodall Mountain Rd, Iuka, MS 38852	Charles Mound, Scales Mound Township, IL 61075	1073674	39404
Charles Mound, Scales Mound Township, IL 61075	High Point Trail Head, Ironton, MO 63650	704594	25894
W Rosebud Lake Rd, Fishtail, MT 59028	Charles Mound, Scales Mound Township, IL 61075	1855275	64655
Charles Mound, Scales Mound Township, IL 61075	Panorama Point, Bushnell, NE 82082	1313853	44401
Charles Mound, Scales Mound Township, IL 61075	Boundary Peak Trailhead, Nevada 89010	2831290	97279
Charles Mound, Scales Mound Township, IL 61075	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	1936614	69914
Monument Rd, Wantage, NJ 07461	Charles Mound, Scales Mound Township, IL 61075	1480486	51261
Charles Mound, Scales Mound Township, IL 61075	Taos Ski Valley, NM 87525	1782635	63232
Charles Mound, Scales Mound Township, IL 61075	Adirondack Loj Rd, Lake Placid, NY 12946	1658932	59132
Mount Mitchell Summit Trail, Burnsville, NC 28714	Charles Mound, Scales Mound Township, IL 61075	1366810	48936
White Butte Trl, Bowman, ND 58623	Charles Mound, Scales Mound Township, IL 61075	1448878	49424
2280 OH-540, Bellefontaine, OH 43311	Charles Mound, Scales Mound Township, IL 61075	683149	26209
Black Mesa Trail, Kenton, OK 73946	Charles Mound, Scales Mound Township, IL 61075	1540397	53804
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Charles Mound, Scales Mound Township, IL 61075	3122978	106490
Charles Mound, Scales Mound Township, IL 61075	Mount Davis Observation Tower, Fort Hill, PA 15540	1117297	39871
250-216 Hartford Pike, Foster, RI 02825	Charles Mound, Scales Mound Township, IL 61075	1785396	61421
Charles Mound, Scales Mound Township, IL 61075	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1371624	48670
Charles Mound, Scales Mound Township, IL 61075	Palmer Creek Trailhead, Hill City, SD 57745	1272982	43197
Clingmans Dome Tennessee High Point, Tennessee 37738	Charles Mound, Scales Mound Township, IL 61075	1226056	44497
Charles Mound, Scales Mound Township, IL 61075	Pine Springs Trailhead, Salt Flat, TX 79847	2163321	72830
Charles Mound, Scales Mound Township, IL 61075	85GFWM59+MG, Evanston, UT 84031	2109638	73828
Charles Mound, Scales Mound Township, IL 61075	Long Trail, Stowe, VT 05672	1761730	66244
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Charles Mound, Scales Mound Township, IL 61075	1264494	46216
Charles Mound, Scales Mound Township, IL 61075	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	3100900	109263
Charles Mound, Scales Mound Township, IL 61075	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1305813	47534
Charles Mound, Scales Mound Township, IL 61075	W3206 Co Rd R R, Ogema, WI 54459	437337	16766
Charles Mound, Scales Mound Township, IL 61075	Trail Lake Trailhead, Dubois, WY 82513	1729768	62944
Hawkeye Pt Rd, Sibley, IA 51249	Hoozier Hill, Franklin Township, IN 47341	1230338	42163
Mount Sunflower, Weskan, KS 67762	Hoozier Hill, Franklin Township, IN 47341	1594672	53156
Hoozier Hill, Franklin Township, IN 47341	Black Mountain Ridge Rd, Partridge, KY 40862	524674	21856
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Hoozier Hill, Franklin Township, IN 47341	1361444	47242
Hoozier Hill, Franklin Township, IN 47341	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	1955156	66712
2428 Seneca Trail, Eglon, WV 26716	Hoozier Hill, Franklin Township, IN 47341	577799	22002
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Hoozier Hill, Franklin Township, IN 47341	1236261	42902
Skanee, MI 49962	Hoozier Hill, Franklin Township, IN 47341	1068776	37742
Eagle Mountain Trailhead, Grand Marais, MN 55604	Hoozier Hill, Franklin Township, IN 47341	1357106	48195
105 Woodall Mountain Rd, Iuka, MS 38852	Hoozier Hill, Franklin Township, IN 47341	833105	29705
High Point Trail Head, Ironton, MO 63650	Hoozier Hill, Franklin Township, IN 47341	673096	23641
W Rosebud Lake Rd, Fishtail, MT 59028	Hoozier Hill, Franklin Township, IN 47341	2551524	85741
